,Wo.dIPA,Word,Stress,Speaker_code,Language,Lang_origin,Stop,Fricative,Position,Initial,Final,Medial,Duration.old,Duration,Vowel,Front,Back,Low,Liquid,Dip,Speaker.1,Age,Young,Old,Education,EducationLow,EducationHigh,LevelOfSpanish,SpanishLow,SpanishHigh,SP_Mid,SP_Low,SP_Zero,LevelOfQuichua,IQ_Native,IQ_High,IQ_Mid,IQ_Low,IQ_Zero,LevelofMediaLengua,ML_Native,ML_High,ML_Mid,ML_Low,ML_Zero,Living,Gender,Recording_type,F0_mid,F1_mid,F2_mid,F3_mid,Vowel_duration,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7
3806,gana?kani?u,ganarkanichu,Unstressed,NIO,ML,s,g,FALSE,i,TRUE,FALSE,FALSE,189.8,189.8,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,93.1,394.4,1806.9,2444.1,125.1,397.3,409.3,416.7,428.2,439.6,466.6,473.1,1808.9,1849.3,1833.4,1828.1,1873.5,1874.8,1847.8,2429.7,2397.1,2399.1,2390.3,2397.4,2412.7,2444.5
3807,culeb?aka,culebraka,Unstressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,46.5,46.5,u,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,280.8,1060.8,2604.6,52.8,300.2,365.3,387.3,391.4,392.4,390.2,389.5,1041.2,992.3,1012.4,1049.8,1091.6,1152.9,1362,2598.1,2605.9,2639.7,2598.8,2548.3,2558.4,2589.4
3808,tetami,tetami,Unstressed,NIO,ML,s,t,FALSE,i,TRUE,FALSE,FALSE,22.4,22.4,e,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,267.9,2264.6,2791.1,90.7,268.3,313,329.5,329.5,333.4,335.7,329.9,2265.1,2290.3,2190.7,2098.3,2063.2,2041.5,2024.7,2791.3,2838.1,2606.6,2333,2384.9,2532.4,2592
3809,tetami,tetami,Unstressed,NIO,ML,s,t,FALSE,i,TRUE,FALSE,FALSE,23.2,23.2,e,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,139.7,301.5,2174.4,2857.7,137.8,307.4,318.9,328.4,334.7,337.3,339.4,342,2186.5,2125.8,2113,2097.6,2124.4,2133.8,2128.8,2879.5,2831.9,2860.4,2842.9,2804.4,2818.3,2786.6
3810,tomanata,tomanata,Unstressed,NIO,ML,s,t,FALSE,i,TRUE,FALSE,FALSE,31.2,31.2,o,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,284.7,1877.2,2786.6,75.6,261.2,380.7,416.7,413,410.1,411.8,412,1985.6,1442.6,1379.9,1351.6,1312.7,1276.2,1214.6,2852.3,2523.3,2488.8,2511.4,2456.9,2445.2,2457.1
3811,gotaka,gotaka,Unstressed,NIO,ML,s,g,FALSE,i,TRUE,FALSE,FALSE,87.1,87.1,o,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,99.5,1035.6,2217.9,3564.5,130.6,NA,374.5,301.5,340.8,367.7,383.7,387.8,1035.6,1325,1206.6,1221.1,1260.9,1276.6,1256.1,2217.9,2823.5,2586.5,2520.6,2488.8,2500.6,2485.9
3812,bandaka,bandaka,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,136.6,136.6,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,97.6,272.7,1246,2509.4,131.7,273.6,428.9,491.1,490.2,497.6,510.1,511.7,1243.8,1223.5,1221.6,1243.5,1258.3,1282.9,1330.8,2508.6,2459,2431,2453.2,2467.9,2480.9,2528.5
3813,quitay,quitay,Stressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,47.4,47.4,i,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,138.4,241.4,2392.2,3027,60.5,239.2,272.9,284.6,291.8,298.4,301.1,299.4,2391.5,2340.7,2314.4,2276.7,2238.3,2227,2212.8,3025.1,2773.1,2520.6,2574.7,2617.2,2592,2592.1
3814,ponihun?u,ponihunchu,Unstressed,NIO,ML,s,p,FALSE,i,TRUE,FALSE,FALSE,25,25,o,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,132.5,244.1,1701.6,2663.8,68.1,260.4,354.7,387,397.3,390.2,381.9,379.1,1682,1422,1195.6,1260.5,1286.8,1300.2,1331.3,2644.5,2515.2,2453.2,2431.6,2413.3,2425.9,2447.3
3815,cazanahun?i,cazanahunchi,Unstressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,26.5,26.5,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,123.9,297,2000.7,2606.5,83.3,300,429.6,474.9,497.8,503.6,510.4,506.9,2002,2155.9,2279.9,2112.8,1907.7,1929,1852.1,2606.7,2649.6,2662.8,2556.9,2572.8,2636.9,2546.9
3816,bancotami,bancotami,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,55.9,55.9,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,102.8,407.7,1139.3,2514.3,113.3,406.5,451.1,494.6,484.2,489.8,477.9,494.8,1135.6,1251.5,1288.2,1326.9,1370.1,1407.1,1438.2,2514,2521.2,2506.5,2525.3,2534.2,2558,2590.7
3817,penata,penata,Unstressed,NIO,ML,s,p,FALSE,i,TRUE,FALSE,FALSE,18.1,18.1,e,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,164.8,1974.1,2586.9,78.4,165.7,200.1,294.1,315.8,304.7,305.6,313.6,1977.4,2096.6,2034.8,2038.5,2033.7,2028.6,2071.1,2584.8,2505.2,2443.2,2449.9,2567.8,2833.9,2725.3
3818,ca?gata,cargata,Unstressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,37,37,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,124.5,324.5,1852.2,2474.5,112.5,326.2,395.4,446.4,448.6,450.1,460.7,468.9,1847.7,1767.8,1807.4,1830.5,1836.4,1824.9,1794.4,2475.2,2497,2498.2,2484.9,2494.7,2522,2559.7
3819,debe?esta,deberesta,Unstressed,ERO,ML,s,d,FALSE,i,TRUE,FALSE,FALSE,96.6,96.6,e,TRUE,FALSE,FALSE,FALSE,FALSE,Homero,33,TRUE,FALSE,Superior,FALSE,TRUE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,118.4,320,1588.7,2735,110.3,321.7,316.6,376.3,410.5,419,411.4,397.8,1588.3,1570.3,1675.1,1689.1,1699.1,1741.9,1729.2,2734.4,2774.1,2792,2733.6,2681,2667,2660.5
3820,cabezata,cabezata,Unstressed,ERO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,32.6,32.6,a,FALSE,FALSE,TRUE,FALSE,FALSE,Homero,33,TRUE,FALSE,Superior,FALSE,TRUE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,114.7,230,1616.8,2760.4,101.2,234.7,291.1,379.6,416.3,354.2,369.5,429.8,1616.3,1612.9,1633,1588,1471.2,1524.3,1623.1,2776.1,2886.8,2922.5,2868.4,2726.9,2767.3,2851.2
